# field	rate	distinct_non_zero	resolved_hashQuick	resolved_hashQuickLowerCase	occurrences	verdict
# verdict: hash >= 0.90, partial 0.10-0.90, not-a-hash < 0.10
BehaviourTemplateData.MinAttackBursts	0.0000	2	0	0	24	not-a-hash
BehaviourTemplateData.SuppressingBurstCountMax	0.0000	2	0	0	24	not-a-hash
BehaviourTemplateData.SuppressingBurstCountMin	0.0000	2	0	0	24	not-a-hash
CannedScenarioEntityData.AnimationEntitySpacePriority	0.0000	2	0	0	9	not-a-hash
CharacterInVehicleScenarioEntityData.ActorId	0.0000	2	0	0	24	not-a-hash
CharacterStateTriggerEntityData.HealthToCheck	0.0000	2	0	0	184	not-a-hash
ChaseCameraData.UpdateRate	0.0000	2	0	0	151	not-a-hash
ChildStaticModelNetworkInfo.InstanceIndex	0.0000	2	0	0	105	not-a-hash
CombatAreaTriggerEntityData.TimeToReturn	0.0000	2	0	0	12	not-a-hash
DuplicateSpawnScopeStrategyData.ClosestCount	0.0000	2	0	0	4	not-a-hash
DynamicWeaponPickupSlotData.AltWeaponSlot	0.0000	2	0	0	2	not-a-hash
EntryComponentHudData.Index	0.0000	2	0	0	317	not-a-hash
GameModeSize.RoundsPerMap	0.0000	2	0	0	2200	not-a-hash
GunMasterLevelInfo.KillsNeeded	0.0000	2	0	0	260	not-a-hash
HullFloatPhysicsData.SubSurfaceSplits	0.0000	2	0	0	18	not-a-hash
IntEntityData.IncDecValue	0.0000	2	0	0	109	not-a-hash
IntUnlockValuePair.UnlockedValue	0.0000	2	0	0	4	not-a-hash
LifeCounterEntityData.StartingLifeCount	0.0000	2	0	0	2	not-a-hash
MatchmakingCreateGameParameters.QueueCapacity	0.0000	2	0	0	5	not-a-hash
MatchmakingSizeConfiguration.MinPlayerCount	0.0000	2	0	0	6	not-a-hash
MultipleActorScenarioEntityData.Actor5SecondPart	0.0000	2	0	0	639	not-a-hash
PickupEntityData.MaxRandomClipAmmoPercent	0.0000	2	0	0	58	not-a-hash
PickupEntityData.MaxRandomSpareAmmoPercent	0.0000	2	0	0	58	not-a-hash
PickupEntityData.MinRandomClipAmmoPercent	0.0000	2	0	0	58	not-a-hash
PickupEntityData.MinRandomSpareAmmoPercent	0.0000	2	0	0	58	not-a-hash
PlayerCameraEntityData.SoldierCameraIndex	0.0000	2	0	0	6	not-a-hash
PointLightEntityData.TranslucencyPower	0.0000	2	0	0	3504	not-a-hash
PreRoundEntityData.RoundRestartCountdown	0.0000	2	0	0	5	not-a-hash
ProfileOptionDataInt.Step	0.0000	2	0	0	8	not-a-hash
RotationBodyData.RotationAxis	0.0000	2	0	0	262	not-a-hash
ShaderGraph.MaxSubMaterialCount	0.0000	2	0	0	9406	not-a-hash
SocketData.BoneId	0.0000	2	0	0	1414	not-a-hash
SpawnReferenceObjectData.MaxCountSimultaneously	0.0000	2	0	0	3415	not-a-hash
StanceSwitchSoundData.ValidStances[]	0.0000	2	0	0	93	not-a-hash
StaticCameraData.AverageFilterFrames	0.0000	2	0	0	198	not-a-hash
StreamPoolAsset.StreamBufferSizeWin32	0.0000	2	0	0	3	not-a-hash
TerrainQuadDecalAtlasTile.TileCountX	0.0000	2	0	0	1168	not-a-hash
TicketCounterEntityData.TicketLossWhenLostAllControlsPoint	0.0000	2	0	0	4	not-a-hash
UI3dIconCompData.MaxTagUpdatesPerFrame	0.0000	2	0	0	9	not-a-hash
UICoopLevelDescription.DevTime	0.0000	2	0	0	12	not-a-hash
UIHUDMessageBinding.NumberOfRows	0.0000	2	0	0	30	not-a-hash
UINestedListDataBinding.SelectorWidth	0.0000	2	0	0	24	not-a-hash
VehicleParachuteComponentData.VehicleType	0.0000	2	0	0	3	not-a-hash
VehicleSpawnReferenceObjectData.ActiveStance	0.0000	2	0	0	1109	not-a-hash
VehicleStateTriggerEntityData.SeatSpecificIndexForHuman	0.0000	2	0	0	72	not-a-hash
WarpAnimationEntityData.AnimationEntitySpacePriority	0.0000	2	0	0	10	not-a-hash
WeaponShotModifier.NumberOfBulletsPerShell	0.0000	2	0	0	111	not-a-hash
WeaponStateEntityData.WeaponSlot	0.0000	2	0	0	4	not-a-hash
WheelConfigData.SlopeGripExponent	0.0000	2	0	0	180	not-a-hash
WheelConfigData.SteeringType	0.0000	2	0	0	180	not-a-hash
WidgetNode.ZDepthLevel	0.0000	2	0	0	1419	not-a-hash
WingPhysicsData.InputForFlap	0.0000	2	0	0	98	not-a-hash
AnimationTurretRotationComponentData.SoldierBaseIndex	0.0000	1	0	0	32	not-a-hash
AntiSpamConfig.DetectionIntervalMaxMessageCount	0.0000	1	0	0	1	not-a-hash
AntiSpamConfig.SecondsBlocked	0.0000	1	0	0	1	not-a-hash
AntiSpamConfig.ServerSideMessageCountTolerance	0.0000	1	0	0	1	not-a-hash
AntiSpamConfig.ServerSideSecondsBlockedTolerance	0.0000	1	0	0	1	not-a-hash
AudioSystemAsset.SampleRate	0.0000	1	0	0	1	not-a-hash
AutoTeamEntityData.PlayerCountNeededToAutoBalance	0.0000	1	0	0	11	not-a-hash
AutoTeamEntityData.TeamDifferenceToAutoBalance	0.0000	1	0	0	11	not-a-hash
BFServerSettings.DeathmatchFriendZoneFallbackCount	0.0000	1	0	0	50	not-a-hash
BFServerSettings.ForceTeamForPlayerTagTeam	0.0000	1	0	0	50	not-a-hash
BFServerSettings.RoundLockdownCountdown	0.0000	1	0	0	50	not-a-hash
BFServerSettings.RoundMaxPlayerCount	0.0000	1	0	0	50	not-a-hash
BFServerSettings.RoundMinPlayerCount	0.0000	1	0	0	50	not-a-hash
BFServerSettings.RoundRestartCountdown	0.0000	1	0	0	50	not-a-hash
BFServerSettings.RoundWarmupTimeout	0.0000	1	0	0	50	not-a-hash
BFServerSettings.ServerAdministrationRoundsPerMap	0.0000	1	0	0	50	not-a-hash
BFServerSettings.ServerConfigurationRefreshInterval	0.0000	1	0	0	50	not-a-hash
BFServerSettings.TeamKillCountForKick	0.0000	1	0	0	50	not-a-hash
BFServerSettings.TeamSwitchImbalanceLimit	0.0000	1	0	0	50	not-a-hash
BoneCollisionData.BoneAxis	0.0000	1	0	0	43	not-a-hash
CTFScoringHandlerData.MaxTeams	0.0000	1	0	0	1	not-a-hash
CameraComponentData.MeshParentComponentNumber	0.0000	1	0	0	546	not-a-hash
CapturePointEntityData.EnemyTicketLossWhenCaptured	0.0000	1	0	0	17	not-a-hash
CapturePointEntityData.MaxCaptureMultiplier	0.0000	1	0	0	17	not-a-hash
CapturePointEntityData.MinNrToTakeControl	0.0000	1	0	0	17	not-a-hash
CharacterPhysicsData.PushableObjectWeight	0.0000	1	0	0	4	not-a-hash
ClientSettings.IncomingRate	0.0000	1	0	0	50	not-a-hash
ClientSettings.OutgoingRate	0.0000	1	0	0	50	not-a-hash
ClientSettings.SpawnPointIndex	0.0000	1	0	0	50	not-a-hash
ClimbLadderComponentData.ClimbPhase	0.0000	1	0	0	3	not-a-hash
ClimbLadderComponentData.ConnectPhase	0.0000	1	0	0	3	not-a-hash
CompareEntityData.IntIn0	0.0000	1	0	0	53	not-a-hash
CoverConstantData.MaxCoversInMemory	0.0000	1	0	0	1	not-a-hash
DebugConstantData.GraphDataBuffer	0.0000	1	0	0	1	not-a-hash
DecalSettings.RingBufferMaxVertexCount	0.0000	1	0	0	50	not-a-hash
DecalSettings.StaticBufferMaxVertexCount	0.0000	1	0	0	50	not-a-hash
DecalTemplateData.MeshUVIndex	0.0000	1	0	0	26	not-a-hash
DifficultyData.AdrenalineKillLimit	0.0000	1	0	0	11	not-a-hash
DxDisplaySettings.ForceRenderAheadLimit	0.0000	1	0	0	50	not-a-hash
DxDisplaySettings.FullscreenOutputIndex	0.0000	1	0	0	50	not-a-hash
DxDisplaySettings.NvidiaMinDriverVersion	0.0000	1	0	0	50	not-a-hash
DxDisplaySettings.PresentInterval	0.0000	1	0	0	50	not-a-hash
DynamicWeaponPickupSlotData.LinkedToWeaponSlot	0.0000	1	0	0	2	not-a-hash
DynamicWeaponPickupSlotData.WeaponSlot	0.0000	1	0	0	2	not-a-hash
EffectManagerSettings.EffectQuality	0.0000	1	0	0	50	not-a-hash
EffectManagerSettings.MaxNewEffectsPerFrameCount	0.0000	1	0	0	50	not-a-hash
EffectManagerSettings.SizeToGrowNewEffectsContainer	0.0000	1	0	0	50	not-a-hash
